J_best,J_mean,J_std,EU_best,EU_mean,I_ow_best,I_ow_mean,I_ao_best,I_ao_mean,I_wago_best,I_wago_mean,n_runs,beta2,beta3,pagw_path
-6.119700879964386,-6.119700879964387,8.881784197001252e-16,-6.119700870221467,-6.119700870221467,-1.4802973661668756e-16,-1.4802973661668753e-16,0.0,0.0,9.74291874661598e-10,9.74291874661598e-10,3,0.1,0.1,/home/pzc/Documents/phd/programming_projects/selective_attention/sweep_blahut_arimoto_optimisation/results/artifacts/pagw_b2=0.100000_b3=0.100000.npy
-6.119700846574891,-6.131952583453468,0.021220627106975205,-6.119700846574892,-6.120407798854945,36.84136148790471,18.593967539092343,-1.1102230246251563e-16,0.0002887655477346639,0.0,0.0012029041908080092,4,0.1,0.13894954943731375,/home/pzc/Documents/phd/programming_projects/selective_attention/sweep_blahut_arimoto_optimisation/results/artifacts/pagw_b2=0.100000_b3=0.138950.npy
-6.119700846574891,-6.569700847353621,0.5511351914903833,-6.119700846574892,-6.569700846842705,36.148214307344766,29.19583031809979,-1.1102230246251564e-16,-1.1102230032172203e-16,0.0,9.864249199215964e-11,5,0.1,0.193069772888325,/home/pzc/Documents/phd/programming_projects/selective_attention/sweep_blahut_arimoto_optimisation/results/artifacts/pagw_b2=0.100000_b3=0.193070.npy
-6.119700846574891,-6.569700847136391,0.5511351916677524,-6.119700846574892,-6.56970084651874,36.14821430734476,29.19583031809979,-1.1102230246251564e-16,-8.88178419700125e-17,0.0,1.6569762140997542e-10,5,0.1,0.2682695795279726,/home/pzc/Documents/phd/programming_projects/selective_attention/sweep_blahut_arimoto_optimisation/results/artifacts/pagw_b2=0.100000_b3=0.268270.npy
-6.119700846574891,-6.569700846890913,0.5511351918681838,-6.119700846574892,-6.569700846149141,36.148214307344766,29.19583031809979,-1.1102230246251564e-16,-8.88178419700125e-17,0.0,2.765029266319089e-10,5,0.1,0.372759372031494,/home/pzc/Documents/phd/programming_projects/selective_attention/sweep_blahut_arimoto_optimisation/results/artifacts/pagw_b2=0.100000_b3=0.372759.npy
-6.119825202009558,-6.794750588748758,0.5510742706538794,-6.116744341720197,-6.793518244633013,-1.4802973661668756e-16,21.966187456630838,-1.1220189134035789e-16,-1.1149413801365254e-16,0.0015957237859000226,0.000638289514360009,5,0.1,0.517947467923121,/home/pzc/Documents/phd/programming_projects/selective_attention/sweep_blahut_arimoto_optimisation/results/artifacts/pagw_b2=0.100000_b3=0.517947.npy
-6.119700846574891,-7.019700846574892,0.45000000000000034,-6.119700846574892,-7.019700846574892,36.84136148790471,36.564102615680724,-1.1102230246251564e-16,-1.1102230246251563e-16,0.0,0.0,5,0.1,0.7196856730011519,/home/pzc/Documents/phd/programming_projects/selective_attention/sweep_blahut_arimoto_optimisation/results/artifacts/pagw_b2=0.100000_b3=0.719686.npy
-5.915859957412275,-6.753932668742368,0.6045123798310861,-5.475529809358074,-6.6658666391315275,-1.4802973661668756e-16,29.19583031809979,7.56704409557714e-17,-7.368375377885824e-17,0.4403301480541999,0.08806602961083998,5,0.1,1.0,/home/pzc/Documents/phd/programming_projects/selective_attention/sweep_blahut_arimoto_optimisation/results/artifacts/pagw_b2=0.100000_b3=1.000000.npy
-5.775873111746088,-6.725935299609129,0.6445915685158914,-5.372259852882894,-6.645212647836492,-1.4802973661668756e-16,29.33445975421178,-1.0458680120415268e-16,-1.0973520221084306e-16,0.5608188046596686,0.11216376093193373,5,0.1,1.3894954943731375,/home/pzc/Documents/phd/programming_projects/selective_attention/sweep_blahut_arimoto_optimisation/results/artifacts/pagw_b2=0.100000_b3=1.389495.npy
-5.652339159251013,-6.926228509110116,0.6369446749295513,-5.305769168529881,-6.856914510965891,-1.4802973661668756e-16,29.33445975421178,-8.184569369365377e-17,-1.0518698070874327e-16,0.6691218939843796,0.13382437879687592,5,0.1,1.9306977288832496,/home/pzc/Documents/phd/programming_projects/selective_attention/sweep_blahut_arimoto_optimisation/results/artifacts/pagw_b2=0.100000_b3=1.930698.npy
