beta2,beta3,J_best,J_mean,J_std,EU_best,EU_mean,I_ow_best,I_ow_mean,I_ao_best,I_ao_mean,I_wago_best,I_wago_mean,n_runs,n_valid,n_invalid,used_valid
0.8,3.2,-5.500027322809975,-5.500027322809975,0.0,-5.243611179143601,-5.243611179143601,-1.4802973661668768e-16,-1.4802973661668768e-16,-6.203377311384555e-17,-6.203377311384555e-17,0.8205316597323997,0.8205316597323997,12,8,4,True
0.8,3.6,-5.4710239712400295,-5.4710239712400295,0.0,-5.234857897730154,-5.234857897730154,-1.4802973661668768e-16,-1.4802973661668768e-16,-6.274018358034788e-17,-6.274018358034788e-17,0.8501978646355508,0.8501978646355508,12,8,4,True
0.8,4.0,-5.447071608797247,-5.447071608797247,0.0,-5.22846357742311,-5.22846357742311,-1.4802973661668768e-16,-1.4802973661668768e-16,-1.5876632828727028e-16,-1.5876632828727028e-16,0.8744321254965457,0.8744321254965457,12,8,4,True
1.2000000000000002,0.4,-5.875896972269198,-6.038319314492654,0.11484190834874512,-5.441121828171994,-5.893345169549552,1.0811616611260828,0.3603822655225464,0.4983436265260641,0.1661460171916759,0.007795515463526808,0.002607652246681498,12,12,0,True
1.2000000000000002,0.8,-5.856069049866541,-5.960405991082355,0.07377698715800506,-5.427037528058103,-5.54034505668428,1.0874190464531381,0.3621833541495761,0.4670140544927808,0.15573782629550792,0.03188251445156312,0.232223529988122,12,12,0,True
1.2000000000000002,1.2000000000000002,-5.836605802983474,-5.837548684766968,0.001526818608232215,-5.411523138251458,-5.411523138132632,-1.4802973661668768e-16,0.13736866519526367,3.6702477261509237e-17,0.0005005513167237476,0.5100991976784188,0.5107301046444817,12,12,0,True
1.2000000000000002,1.6,-5.720516218060766,-5.720516218060766,0.0,-5.340670850141755,-5.340670850141755,-1.4802973661668768e-16,-1.4802973661668768e-16,-2.4255199641063e-17,-2.4255199641063e-17,0.6077525886704186,0.6077525886704186,12,8,4,True
1.2000000000000002,2.0,-5.640152427188911,-5.640152427188911,0.0,-5.299906466788468,-5.299906466788468,-1.4802973661668768e-16,-1.4802973661668768e-16,-2.574417047803976e-16,-2.574417047803976e-16,0.680491920800886,0.680491920800886,12,8,4,True
1.2000000000000002,2.4,-5.581103969407148,-5.581103969407148,0.0,-5.273613532325988,-5.273613532325988,-1.4802973661668768e-16,-1.4802973661668768e-16,5.991329461889086e-17,5.991329461889086e-17,0.7379770489947837,0.7379770489947837,12,8,4,True
1.2000000000000002,2.8000000000000003,-5.535831795387946,-5.535831795387946,0.0,-5.255899803596672,-5.255899803596672,-1.4802973661668768e-16,-1.4802973661668768e-16,-1.2220753806345114e-16,-1.2220753806345114e-16,0.783809577015566,0.783809577015566,12,8,4,True
1.2000000000000002,3.2,-5.500027322809975,-5.500027322809975,0.0,-5.243611179143601,-5.243611179143601,-1.4802973661668768e-16,-1.4802973661668768e-16,-1.2406754622769102e-16,-1.2406754622769102e-16,0.8205316597323996,0.8205316597323996,12,8,4,True
1.2000000000000002,3.6,-5.47102397124003,-5.47102397124003,0.0,-5.234857897730155,-5.234857897730155,-1.4802973661668768e-16,-1.4802973661668768e-16,-4.5828156488353814e-17,-4.5828156488353814e-17,0.8501978646355505,0.8501978646355505,12,8,4,True
