beta2,beta3,J_best,J_mean,J_std,EU_best,EU_mean,I_ow_best,I_ow_mean,I_ao_best,I_ao_mean,I_wago_best,I_wago_mean,n_runs
0.4,0.4,-6.119524806525122,-6.119524806525123,8.881784197001252e-16,-6.119485452373599,-6.119485452373599,-1.4802973661668768e-16,-1.4802973661668768e-16,-1.1102288992182913e-16,-1.1102288992182913e-16,1.574166060923085e-05,1.574166060923085e-05,3
0.4,0.5241379310344828,-6.119511586475187,-6.120259230379235,0.0004316524092596602,-6.119511586475187,-6.098620258136085,36.148214307345036,9.037053576836259,0.0,1.1106547289237991e-17,0.0,0.01134180614123661,4
0.4,0.6482758620689655,-6.089202348435554,-6.101326043651407,0.014848433537930642,-5.8001808299344,-5.9279131325507155,-1.4802973661668768e-16,14.459285722938015,8.823033682825003e-18,5.293820209695002e-18,0.18736567406281715,0.1124194044376903,5
0.4,0.7724137931034483,-6.026956444542946,-6.063978501315843,0.04534257416097312,-5.62324288336388,-5.821750364608404,-1.4802973661668768e-16,14.459285722938017,0.0,0.0,0.31183392311762315,0.1871003538705739,5
0.4,0.896551724137931,-5.963792447602808,-6.02608010315176,0.07628648668458426,-5.526857715087619,-5.763919263642647,-1.4802973661668768e-16,14.459285722938017,-1.4172507538232192e-16,-8.503504522939315e-17,0.3917345877722385,0.23504075266334312,5
0.4,1.0206896551724138,-5.906766492057206,-5.991864529824399,0.10422338532085662,-5.467135256934108,-5.72808578875054,-1.4802973661668768e-16,14.459285722938017,-1.527202737535492e-16,-9.163216425212953e-17,0.4487270537808179,0.26923623226849075,5
0.4,1.1448275862068966,-5.856748011122818,-5.961853441263766,0.1287273365205325,-5.426087810601295,-5.703457320950852,-1.4802973661668768e-16,14.459285722938017,2.2186712959340957e-31,1.3312027775604575e-31,0.4930316778384323,0.2958190067030594,5
0.4,1.2689655172413792,-5.437535162873306,-5.6628499596837045,0.18396876122811473,-5.437535162873306,-5.412354647646371,36.14821430734504,14.459285722938017,-5.551115123125831e-17,-7.359764847733264e-17,0.0,0.3178699132059952,5
0.4,1.3931034482758622,-5.425980260663207,-5.6352416326926065,0.17086119478224865,-5.425980260663207,-5.393329221516581,36.14821430734504,14.459285722938017,-1.5777218104420234e-30,5.3976669725457903e-17,0.0,0.33700901419004864,5
0.4,1.5172413793103448,-5.41712678736471,-5.611410804198586,0.15863223547376396,-5.41712678736471,-5.378014667762528,36.14821430734504,14.459285722938017,1.1102230246251814e-16,-1.008253565528928e-16,0.0,0.3541182759719487,5
0.4,1.6413793103448278,-5.410198845210638,-5.590604136754697,0.14730030372699338,-5.410198845210638,-5.365370454608768,36.14821430734504,14.459285722938017,-5.551115123125659e-17,-1.172682523129528e-16,0.0,0.36969390586711165,5
0.4,1.7655172413793103,-5.404677937829977,-5.572255440690834,0.13682645812629562,-5.404677937829977,-5.354740468771413,36.14821430734504,14.459285722938017,5.5511151231257303e-17,-8.795136089460735e-17,0.0,0.38402643318187524,5
