beta2,beta3,J_best,J_mean,J_std,EU_best,EU_mean,I_ow_best,I_ow_mean,I_ao_best,I_ao_mean,I_wago_best,I_wago_mean,n_runs,eta
0.4,0.4,-6.575791286694366,-6.575791286694366,0.0,-6.449005048787752,-6.449005048787751,-1.4802973661668768e-16,-1.4802973661668768e-16,-1.902354089172208e-17,-1.902354089172208e-17,0.0507144951626453,0.0507144951626453,3,-6.575791286694366
0.4,0.5241379310344828,-6.57785517323597,-10.503160794699292,2.2662762572034003,-6.57785517323597,-5.912408581446606,36.84136148790464,9.730251093279394,0.0,0.3603298553194183,0.0,1.9340310048035492,4,-6.57785517323597
0.4,0.6482758620689655,-6.57785517323597,-11.978152923799549,4.409324649326849,-6.57785517323597,-5.981844253816698,36.84136148790464,15.013803467385896,0.0,0.3992262001518222,0.0,3.2402403996048945,5,-6.57785517323597
0.4,0.7724137931034483,-6.57785517323597,-31.91120605875679,20.684594381470127,-6.57785517323597,-5.977835039233005,36.84136148790464,15.013803467385896,0.0,0.4158883083357275,0.0,19.22819881277697,5,-6.57785517323597
0.4,0.896551724137931,-6.57785517323597,-31.672928498132347,20.490041567908477,-6.57785517323597,-5.977835039232994,36.84136148790464,15.152432903497814,0.0,0.4158883083359648,0.0,22.104816892742942,5,-6.57785517323597
0.4,1.0206896551724138,-6.57785517323597,-7.777855173235973,0.9797958971132734,-6.57785517323597,-7.777855173235973,36.84136148790464,36.42547317956888,0.0,0.0,0.0,0.0,5,-6.57785517323597
0.4,1.1448275862068966,-6.57785517323597,-6.57785517323597,0.0,-6.57785517323597,-6.57785517323597,36.84136148790464,36.84136148790464,0.0,0.0,0.0,0.0,5,-6.57785517323597
0.4,1.2689655172413792,-6.57785517323597,-7.777855173235968,0.9797958971132708,-6.57785517323597,-7.777855173235968,36.84136148790464,36.84136148790464,0.0,0.0,0.0,0.0,5,-6.57785517323597
0.4,1.3931034482758622,-6.57785517323597,-7.777855173235973,0.9797958971132734,-6.57785517323597,-7.777855173235973,36.84136148790464,36.42547317956888,0.0,0.0,0.0,0.0,5,-6.57785517323597
0.4,1.5172413793103448,-6.57785517323597,-7.777855173235968,0.97979589711327,-6.57785517323597,-7.777855173235968,36.84136148790464,36.84136148790464,0.0,0.0,0.0,0.0,5,-6.57785517323597
0.4,1.6413793103448278,-6.57785517323597,-7.777855173235968,0.97979589711327,-6.57785517323597,-7.777855173235968,36.84136148790464,36.84136148790464,0.0,0.0,0.0,0.0,5,-6.57785517323597
0.4,1.7655172413793103,-6.57785517323597,-7.777855173235973,0.9797958971132744,-6.57785517323597,-7.777855173235973,36.84136148790464,36.42547317956888,0.0,0.0,0.0,0.0,5,-6.57785517323597
0.4,1.8896551724137929,-6.57785517323597,-7.777855173235973,0.9797958971132734,-6.57785517323597,-7.777855173235973,36.84136148790464,36.42547317956888,0.0,0.0,0.0,0.0,5,-6.57785517323597
0.4,2.013793103448276,-6.57785517323597,-6.57785517323597,0.0,-6.57785517323597,-6.57785517323597,36.84136148790464,36.84136148790464,0.0,0.0,0.0,0.0,5,-6.57785517323597
0.4,2.1379310344827585,-6.57785517323597,-17.35690564700106,8.80105785747658,-6.57785517323597,-5.977835039232994,36.84136148790464,15.152432903497814,0.0,0.4158883083359648,0.0,22.104816892742942,5,-6.57785517323597
0.4,2.262068965517241,-6.57785517323597,-8.177855173235972,0.8000000000000014,-6.57785517323597,-8.177855173235972,36.84136148790464,36.42547317956888,0.0,0.0,0.0,0.0,5,-6.57785517323597
0.4,2.386206896551724,-6.57785517323597,-8.177855173235972,0.8000000000000019,-6.57785517323597,-8.177855173235972,36.84136148790464,36.42547317956888,0.0,0.0,0.0,0.0,5,-6.57785517323597
0.4,2.5103448275862066,-6.57785517323597,-7.777855173235973,0.9797958971132734,-6.57785517323597,-7.777855173235973,36.84136148790464,36.42547317956888,0.0,0.0,0.0,0.0,5,-6.57785517323597
0.4,2.6344827586206896,-6.57785517323597,-15.40812766726591,7.20988730003559,-6.57785517323597,-5.977835039232994,36.84136148790464,15.152432903497814,0.0,0.4158883083359648,0.0,22.104816892742942,5,-6.57785517323597
0.4,2.758620689655172,-6.57785517323597,-7.777855173235968,0.97979589711327,-6.57785517323597,-7.777855173235968,36.84136148790464,36.84136148790464,0.0,0.0,0.0,0.0,5,-6.57785517323597
0.4,2.882758620689655,-6.57785517323597,-7.777855173235968,0.9797958971132708,-6.57785517323597,-7.777855173235968,36.84136148790464,36.84136148790464,0.0,0.0,0.0,0.0,5,-6.57785517323597
0.4,3.0068965517241377,-6.57785517323597,-6.57785517323597,0.0,-6.57785517323597,-6.57785517323597,36.84136148790464,36.84136148790464,0.0,0.0,0.0,0.0,5,-6.57785517323597
0.4,3.1310344827586207,-6.57785517323597,-6.977855173235973,0.7999999999999978,-6.57785517323597,-6.977855173235973,36.84136148790464,36.42547317956888,0.0,0.0,0.0,0.0,5,-6.57785517323597
0.4,3.2551724137931037,-6.57785517323597,-8.177855173235967,0.799999999999999,-6.57785517323597,-8.177855173235967,36.84136148790464,36.84136148790464,0.0,0.0,0.0,0.0,5,-6.57785517323597
0.4,3.379310344827586,-6.57785517323597,-7.777855173235968,0.9797958971132708,-6.57785517323597,-7.777855173235968,36.84136148790464,36.84136148790464,0.0,0.0,0.0,0.0,5,-6.57785517323597
0.4,3.503448275862069,-6.57785517323597,-7.777855173235973,0.9797958971132734,-6.57785517323597,-7.777855173235973,36.84136148790464,36.42547317956888,0.0,0.0,0.0,0.0,5,-6.57785517323597
0.4,3.627586206896552,-6.57785517323597,-7.777855173235973,0.9797958971132734,-6.57785517323597,-7.777855173235973,36.84136148790464,36.42547317956888,0.0,0.0,0.0,0.0,5,-6.57785517323597
0.4,3.7517241379310335,-6.57785517323597,-6.577855173235973,3.2269124482882016e-15,-6.57785517323597,-6.577855173235973,36.84136148790464,36.42547317956888,0.0,0.0,0.0,0.0,5,-6.57785517323597
0.4,3.875862068965517,-6.57785517323597,-6.57785517323597,0.0,-6.57785517323597,-6.57785517323597,36.84136148790464,36.84136148790464,0.0,0.0,0.0,0.0,5,-6.57785517323597
0.4,4.0,-6.57785517323597,-6.577855173235973,3.2269124482882016e-15,-6.57785517323597,-6.577855173235973,36.84136148790464,36.42547317956888,0.0,0.0,0.0,0.0,5,-6.57785517323597
0.5241379310344828,0.4,-6.518684739387336,-6.518863343656838,0.0001458297753818,-6.065908135317348,-6.0630240917559926,0.693124809278697,0.693124809278697,0.1672419133457112,0.1685111435330134,0.0534786551273208,0.053735091221986,5,-6.518684739387336
0.5241379310344828,0.5241379310344828,-6.4770126733492654,-6.478071842844749,0.0017636180574525,-5.93777333937737,-5.937778395689429,0.386854070864317,0.3357081896307126,2.7961021916327547e-05,0.0003236316410306,0.2826078278185254,0.2828646579024474,5,-6.4770126733492654
0.5241379310344828,0.6482758620689655,-6.577855173235976,-9.037529348444648,2.0083155542541062,-6.577855173235976,-6.031300761280863,36.14821430734504,14.875174031273977,0.0,0.292535335460612,0.0,1.5870454087450043,5,-6.577855173235976
0.5241379310344828,0.7724137931034483,-6.57785517323597,-9.984110409478722,2.7811957541593717,-6.57785517323597,-5.988311164749708,36.84136148790464,15.152432903497814,0.0,0.3740259645226696,0.0,2.535214292857097,5,-6.57785517323597
0.5241379310344828,0.896551724137931,-6.577855173235976,-12.26145027579781,4.640635968619305,-6.577855173235976,-5.978097013552902,36.14821430734504,14.875214299980607,0.0,0.4143745817194155,0.0,4.924552574008051,5,-6.577855173235976
0.5241379310344828,1.0206896551724138,-6.577855173235976,-27.84925683100096,17.36802672510547,-6.577855173235976,-5.977915575244899,36.14821430734504,14.875214299980607,0.0,0.4158748855672159,0.0,21.513990145233365,5,-6.577855173235976
0.5241379310344828,1.1448275862068966,-6.57785517323597,-26.07973054808476,15.923214565242654,-6.57785517323597,-5.977835039232994,36.84136148790464,15.152432903497814,0.0,0.4158883083359648,0.0,22.104816892742942,5,-6.57785517323597
