beta2,beta3,J_best,J_mean,J_std,EU_best,EU_mean,I_ow_best,I_ow_mean,I_ao_best,I_ao_mean,I_wago_best,I_wago_mean,n_runs
0.4,4.0,-6.57785517323597,-6.577855173235973,3.2269124482882016e-15,-6.57785517323597,-6.577855173235973,36.841361487904635,36.42547317956888,0.0,0.0,0.0,0.0,5
0.5241379310344828,0.4,-6.518684739387336,-6.518863343656838,0.000145829775381823,-6.065908135317348,-6.0630240917559926,0.693124809278697,0.693124809278697,0.16724191334571123,0.1685111435330134,0.05347865512732089,0.05373509122198605,5
0.5241379310344828,0.5241379310344828,-6.4770126733492654,-6.478071842844749,0.0017636180574525325,-5.93777333937737,-5.937778395689429,0.386854070864317,0.33570818963071264,2.7961021916327547e-05,0.00032363164103069544,0.2826078278185254,0.2828646579024474,5
0.5241379310344828,0.6482758620689655,-6.577855173235976,-9.037529348444648,2.0083155542541062,-6.577855173235976,-6.031300761280863,36.14821430734504,14.875174031273977,0.0,0.29253533546061206,0.0,1.5870454087450043,5
0.5241379310344828,0.7724137931034483,-6.57785517323597,-9.984110409478722,2.7811957541593713,-6.57785517323597,-5.988311164749708,36.841361487904635,15.152432903497814,0.0,0.3740259645226696,0.0,2.5352142928570975,5
0.5241379310344828,0.896551724137931,-6.577855173235976,-12.26145027579781,4.640635968619305,-6.577855173235976,-5.978097013552902,36.14821430734504,14.875214299980609,0.0,0.4143745817194155,0.0,4.924552574008051,5
0.5241379310344828,1.0206896551724138,-6.577855173235976,-27.849256831000957,17.36802672510547,-6.577855173235976,-5.977915575244899,36.14821430734504,14.875214299980609,0.0,0.4158748855672159,0.0,21.513990145233365,5
0.5241379310344828,1.1448275862068966,-6.57785517323597,-26.07973054808476,15.923214565242654,-6.57785517323597,-5.977835039232994,36.841361487904635,15.152432903497814,0.0,0.41588830833596485,0.0,22.104816892742946,5
0.5241379310344828,1.2689655172413792,-6.57785517323597,-24.190862944298132,14.380960624925724,-6.57785517323597,-5.977835039232994,36.841361487904635,15.152432903497814,0.0,0.41588830833596485,0.0,22.104816892742946,5
0.5241379310344828,1.3931034482758622,-6.57785517323597,-7.777855173235968,0.9797958971132709,-6.57785517323597,-7.777855173235968,36.841361487904635,36.841361487904635,0.0,0.0,0.0,0.0,5
0.5241379310344828,1.5172413793103448,-5.607606156755534,-7.583805369939881,1.2555241266290371,-5.607606156755534,-7.583805369939881,36.841361487904635,36.841361487904635,-5.5511151231257765e-17,-1.1102230246251554e-17,0.0,0.0,5
0.5241379310344828,1.6413793103448278,-5.603272931351603,-7.388022276482227,1.4572417381121519,-5.603272931351603,-7.388022276482227,36.841361487904635,36.28684374345696,-1.6653345369377343e-16,-5.5511151231257796e-17,0.0,0.0,5
0.5241379310344828,1.7655172413793103,-5.599821186474795,-7.386641578531498,1.4589327408462383,-5.599821186474795,-7.386641578531498,36.14821430734504,36.564102615680795,2.4651903288156616e-32,9.860761315262647e-33,0.0,0.0,5
0.5241379310344828,1.8896551724137929,-5.597027095578611,-7.385523942173025,1.4603015602443596,-5.597027095578611,-7.385523942173025,36.14821430734504,36.564102615680795,2.2204460492503128e-16,8.881784197001252e-17,0.0,0.0,5
0.5241379310344828,2.013793103448276,-5.594733613484667,-6.184606549335452,0.4816292353039596,-5.594733613484667,-6.184606549335452,36.14821430734504,36.702732051792715,1.6653345369377365e-16,5.55111512312579e-17,0.0,0.0,5
0.5241379310344828,2.1379310344827585,-5.592827919511149,-7.383844271746041,1.4623587279854373,-5.592827919511149,-7.383844271746041,36.841361487904635,36.841361487904635,-1.110223024625156e-16,-4.440892098500624e-17,0.0,0.0,5
0.5241379310344828,2.2620689655172415,-5.59122727324549,-7.5805295932378725,1.2606866898963316,-5.59122727324549,-7.5805295932378725,36.841361487904635,36.841361487904635,3.944304526105058e-31,7.888609052210116e-32,0.0,0.0,5
0.5241379310344828,2.386206896551724,-6.57785517323597,-6.577855173235973,3.2269124482882016e-15,-6.57785517323597,-6.577855173235973,36.841361487904635,36.42547317956888,0.0,0.0,0.0,0.0,5
0.5241379310344828,2.5103448275862066,-6.57785517323597,-6.577855173235973,3.2269124482882016e-15,-6.57785517323597,-6.577855173235973,36.841361487904635,36.42547317956888,0.0,0.0,0.0,0.0,5
0.5241379310344828,2.6344827586206896,-5.587708016489839,-7.579825741886746,1.2617976295587734,-5.587708016489839,-7.579825741886746,36.841361487904635,36.42547317956888,1.1102230246251563e-16,2.2204460492503126e-17,0.0,0.0,5
0.5241379310344828,2.758620689655172,-5.586839244505791,-7.381448801743898,1.4652925675851336,-5.586839244505791,-7.381448801743898,36.841361487904635,36.841361487904635,-1.110223024625155e-16,-4.44089209850062e-17,0.0,0.0,5
0.5241379310344828,2.882758620689655,-5.586080271166898,-7.979500192822158,1.1967099608276304,-5.586080271166898,-7.979500192822158,36.841361487904635,36.42547317956888,-1.665334536937734e-16,-3.330669073875468e-17,0.0,0.0,5
0.5241379310344828,3.0068965517241377,-6.57785517323597,-7.377855173235969,0.97979589711327,-6.57785517323597,-7.377855173235969,36.841361487904635,36.841361487904635,0.0,0.0,0.0,0.0,5
0.5241379310344828,3.1310344827586207,-6.57785517323597,-7.377855173235969,0.97979589711327,-6.57785517323597,-7.377855173235969,36.841361487904635,36.841361487904635,0.0,0.0,0.0,0.0,5
0.5241379310344828,3.2551724137931033,-5.668894178637262,-6.796062974316229,0.9579286891455392,-5.5843010888094575,-6.779144356350668,36.61915172565585,36.796919535454876,0.004658957922237889,0.0009317915844475779,0.2464305116247772,0.049286102324955436,5
0.5241379310344828,3.379310344827586,-5.706585324902244,-7.429347233902483,1.4066292084512175,-5.583834596296811,-7.3802469424603085,36.50397863274441,36.29052003750479,0.007005500015605347,0.002802200006242139,0.36964576743716765,0.14785830697486707,5
