beta2,beta3,J_best,J_mean,J_std,EU_best,EU_mean,I_ow_best,I_ow_mean,I_ao_best,I_ao_mean,I_wago_best,I_wago_mean,n_runs,eta
0.4,0.4,-6.119524806525122,-6.119524806525123,8.881784197001252e-16,-6.119485452373599,-6.119485452373599,-1.4802973661668768e-16,-1.4802973661668768e-16,-1.110228899218291e-16,-1.110228899218291e-16,1.574166060923085e-05,1.574166060923085e-05,3,-6.119524806525122
0.4,0.5241379310344828,-6.119511586475187,-6.120259230379235,0.0004316524092596,-6.119511586475187,-6.098620258136085,36.14821430734504,9.03705357683626,0.0,1.1106547289237993e-17,0.0,0.0113418061412366,4,-6.119511586475187
0.4,0.6482758620689655,-6.089202348435554,-6.101326043651407,0.0148484335379306,-5.8001808299344,-5.927913132550716,-1.4802973661668768e-16,14.459285722938017,8.823033682825004e-18,5.2938202096950025e-18,0.1873656740628171,0.1124194044376903,5,-6.089202348435554
0.4,0.7724137931034483,-6.026956444542946,-6.063978501315843,0.0453425741609731,-5.62324288336388,-5.821750364608404,-1.4802973661668768e-16,14.459285722938017,0.0,0.0,0.3118339231176231,0.1871003538705739,5,-6.026956444542946
0.4,0.896551724137931,-5.963792447602808,-6.02608010315176,0.0762864866845842,-5.526857715087619,-5.763919263642647,-1.4802973661668768e-16,14.459285722938017,-1.4172507538232192e-16,-8.503504522939315e-17,0.3917345877722385,0.2350407526633431,5,-5.963792447602808
0.4,1.0206896551724138,-5.906766492057206,-5.991864529824399,0.1042233853208566,-5.467135256934108,-5.72808578875054,-1.4802973661668768e-16,14.459285722938017,-1.527202737535492e-16,-9.163216425212952e-17,0.4487270537808179,0.2692362322684907,5,-5.906766492057206
0.4,1.1448275862068966,-5.856748011122818,-5.961853441263766,0.1287273365205325,-5.426087810601295,-5.703457320950852,-1.4802973661668768e-16,14.459285722938017,2.2186712959340957e-31,1.3312027775604575e-31,0.4930316778384323,0.2958190067030594,5,-5.856748011122818
0.4,1.2689655172413792,-5.437535162873306,-5.6628499596837045,0.1839687612281147,-5.437535162873306,-5.412354647646371,36.14821430734504,14.459285722938017,-5.551115123125831e-17,-7.359764847733264e-17,0.0,0.3178699132059952,5,-5.437535162873306
0.4,1.3931034482758622,-5.425980260663207,-5.635241632692607,0.1708611947822486,-5.425980260663207,-5.393329221516581,36.14821430734504,14.459285722938017,-1.5777218104420234e-30,5.397666972545791e-17,0.0,0.3370090141900486,5,-5.425980260663207
0.4,1.5172413793103448,-5.41712678736471,-5.611410804198586,0.1586322354737639,-5.41712678736471,-5.378014667762528,36.14821430734504,14.459285722938017,1.1102230246251814e-16,-1.0082535655289281e-16,0.0,0.3541182759719487,5,-5.41712678736471
0.4,1.6413793103448278,-5.410198845210638,-5.590604136754697,0.1473003037269933,-5.410198845210638,-5.365370454608768,36.14821430734504,14.459285722938017,-5.551115123125659e-17,-1.172682523129528e-16,0.0,0.3696939058671116,5,-5.410198845210638
0.4,1.7655172413793103,-5.404677937829977,-5.572255440690834,0.1368264581262956,-5.404677937829977,-5.354740468771413,36.14821430734504,14.459285722938017,5.55111512312573e-17,-8.795136089460735e-17,0.0,0.3840264331818752,5,-5.404677937829977
0.4,1.8896551724137929,-5.40020807744263,-5.555933829206508,0.1271495438776058,-5.40020807744263,-5.345686182286772,36.14821430734504,14.459285722938017,-1.1102230246251987e-16,-1.8417628535962462e-16,0.0,0.3972955534897084,5,-5.40020807744263
0.4,2.013793103448276,-5.396538756583463,-5.541306419875953,0.1182023021072147,-5.396538756583463,-5.337898764447802,36.14821430734504,14.459285722938017,-5.551115123125836e-17,-1.7673602946428578e-16,0.0,0.4096209336897957,5,-5.396538756583463
0.4,2.1379310344827585,-5.3934897382872045,-5.528112032159589,0.1099186426634501,-5.3934897382872045,-5.331150768489239,36.14821430734504,14.459285722938017,-9.367723249499512e-31,-2.933576491290637e-31,0.0,0.4210895981917865,5,-5.3934897382872045
0.4,2.262068965517241,-5.599618604568288,-6.257575797331047,0.8058296974313959,-5.281494908826377,-6.066701579885899,-1.4802973661668768e-16,14.459285722938017,6.084537195996059e-18,3.6507223175976355e-18,0.7196177393334265,0.4317706436000559,5,-5.599618604568288
0.4,2.386206896551724,-5.582879235572761,-6.247532175933734,0.8140302799624417,-5.274353988312514,-6.062417027577586,-1.4802973661668768e-16,14.736544595161854,1.3716322674051374e-16,8.229793604430826e-17,0.7362050727727263,0.4417230436636357,5,-5.582879235572761
0.4,2.5103448275862066,-5.56746312412736,-6.238282509066494,0.8215826013342643,-5.268035673781578,-6.058626038859025,-1.4802973661668768e-16,14.736544595161854,-1.2053358732616486e-16,-7.23201523956989e-17,0.7516661512128596,0.4509996907277157,5,-5.56746312412736
0.4,2.6344827586206896,-5.553219281005579,-6.229736203193426,0.8285606308591874,-5.262428860302949,-6.055261950771847,-1.4802973661668768e-16,14.736544595161854,-4.0117066801216986e-17,-2.4070240080730187e-17,0.7660823497131357,0.4596494098278814,5,-5.553219281005579
0.4,2.758620689655172,-5.383907911949892,-5.849695478905919,0.7000240054774571,-5.383907911949893,-5.680147738555235,36.84136148790464,14.736544595161854,-2.2204460492503126e-16,5.078610810491981e-17,0.0,0.4677179044156817,5,-5.383907911949892
0.4,2.882758620689655,-5.382693554853058,-5.842092923857371,0.7034563736592956,-5.382693554853058,-5.677234111452217,36.84136148790464,14.736544595161854,5.551115123125895e-17,-1.0819022244453731e-16,0.0,0.4752481626576216,5,-5.382693554853058
0.4,3.0068965517241377,-5.381626472257307,-5.835023189983079,0.7066724686244922,-5.381626472257307,-5.674631702713007,36.84136148790464,14.736544595161854,1.1102230246251482e-16,1.1045553274120269e-17,0.0,0.4822806099982845,5,-5.381626472257307
0.4,3.1310344827586207,-5.380683777586627,-5.455666723026718,0.0612233185797246,-5.380683777586628,-5.299535207217732,36.84136148790464,14.736544595161854,-2.220446049250317e-16,-5.1683283552310055e-17,0.0,0.4888531598433075,5,-5.380683777586627
0.4,3.2551724137931037,-5.379846863221343,-5.449340419517585,0.0567412511123899,-5.379846863221343,-5.297274361256799,36.84136148790464,14.736544595161854,-5.551115123125768e-17,-5.94903995040851e-17,0.0,0.4950012379247691,5,-5.379846863221343
0.4,3.379310344827586,-5.379100475206057,-5.443423334483354,0.0525193946754081,-5.379100475206057,-5.2952398992027785,36.84136148790464,14.736544595161854,5.551115123125769e-17,5.962928348380209e-17,0.0,0.500757815775736,5,-5.379100475206057
0.4,3.503448275862069,-5.378432013241527,-5.437877105538166,0.0485367146131394,-5.378432013241527,-5.293404167399345,36.84136148790464,14.736544595161854,-5.5511151231252404e-17,-1.384489577131905e-16,0.0,0.5061534660311828,5,-5.378432013241527
0.4,3.627586206896552,-5.377830995391082,-5.432668057925412,0.0447742740674007,-5.377830995391082,-5.29174337337106,36.84136148790464,14.736544595161854,-5.551115123125865e-17,-7.275192168429254e-17,0.0,0.5112164419006197,5,-5.377830995391082
0.4,3.7517241379310335,-5.377288644653286,-5.427766496163921,0.0412149931710106,-5.377288644653286,-5.290236987456938,36.84136148790464,14.736544595161854,5.5511151231254813e-17,8.982582746737036e-17,0.0,0.515972777493787,5,-5.377288644653286
0.4,3.875862068965517,-5.376797566694646,-5.423146123732076,0.0378434383519956,-5.376797566694646,-5.288867247304604,36.84136148790464,14.736544595161854,-5.551115123125809e-17,-7.575150994946324e-17,0.0,0.5204464038085488,5,-5.376797566694646
0.4,4.0,-5.37635149647386,-5.418783563867892,0.0346456379489219,-5.37635149647386,-5.287618745043409,36.84136148790464,14.736544595161854,-5.551115123125733e-17,-7.949729148220867e-17,0.0,0.5246592752979273,5,-5.37635149647386
0.5241379310344828,0.4,-6.119524806525122,-6.124907543752297,0.0065924798137646,-6.119485452373599,-6.079204787631936,-1.4802973661668768e-16,0.436151865925216,-1.110228899218291e-16,0.0213374084387231,1.574166060923085e-05,0.0019972907449079,5,-6.119524806525122
0.5241379310344828,0.5241379310344828,-6.120508445013916,-6.121787807648915,0.0016289026381143,-6.091656482023051,-6.075336121519639,-1.4802973661668768e-16,0.0949783910941828,-4.8085201156833786e-17,8.428098994907004e-05,0.0151224081883154,0.0242628096709129,5,-6.120508445013916
0.5241379310344828,0.6482758620689655,-5.616100856458894,-5.89996175164489,0.2317714503784489,-5.616100856458894,-5.726548840544197,36.84136148790464,14.736544595161854,5.423418723394455e-31,9.749379023626912e-17,0.0,0.1124194044376903,5,-5.616100856458894
0.5241379310344828,0.7724137931034483,-5.548680659821762,-5.835646130654473,0.2343063257792231,-5.548680659821762,-5.593417993947033,36.84136148790464,14.736544595161854,-1.110223024625159e-16,-1.2974492810307902e-16,0.0,0.1871003538705738,5,-5.548680659821762
0.5241379310344828,0.896551724137931,-5.5043877184013255,-5.780030555922214,0.2250614343930229,-5.5043877184013255,-5.517869716413101,36.84136148790464,14.736544595161854,5.551115123125703e-17,1.0723950572189615e-16,0.0,0.235040752663343,5,-5.5043877184013255
0.5241379310344828,1.0206896551724138,-5.4742345957964895,-5.733753733552919,0.2118964886634364,-5.4742345957964895,-5.46997499247906,36.84136148790464,14.736544595161854,-2.220446049250316e-16,-5.144472669029895e-17,0.0,0.2692362322684907,5,-5.4742345957964895
0.5241379310344828,1.1448275862068966,-5.452986948131416,-5.695243585926257,0.1978017164665342,-5.452986948131416,-5.436847465613344,36.84136148790464,14.736544595161854,0.0,-3.805631071790161e-17,0.0,0.2958190067030595,5,-5.452986948131416
0.5241379310344828,1.2689655172413792,-5.437535162873312,-5.6628499596837045,0.1839687612281114,-5.437535162873312,-5.412354647646373,36.84136148790464,14.736544595161854,-5.5511151231257636e-17,-2.039581076789563e-16,0.0,0.3178699132059954,5,-5.437535162873312
0.5241379310344828,1.3931034482758622,-5.425980260663201,-5.635241632692603,0.1708611947822514,-5.425980260663201,-5.393329221516578,36.84136148790464,14.736544595161854,-5.551115123125683e-17,-2.8333282247383926e-17,0.0,0.3370090141900486,5,-5.425980260663201
0.5241379310344828,1.5172413793103448,-5.417126787364711,-5.611410804198586,0.1586322354737633,-5.417126787364711,-5.378014667762528,36.14821430734504,14.597915159049936,2.2204460492503136e-16,7.169297146066705e-17,0.0,0.3541182759719486,5,-5.417126787364711
0.5241379310344828,1.6413793103448278,-5.410198845210639,-5.590604136754697,0.1473003037269931,-5.410198845210639,-5.365370454608768,36.14821430734504,14.459285722938017,4.9303806576313227e-32,-4.4760119696345056e-17,0.0,0.3696939058671116,5,-5.410198845210639
0.5241379310344828,1.7655172413793103,-5.404677937829972,-5.572255440690833,0.1368264581262973,-5.404677937829972,-5.354740468771412,36.84136148790464,14.597915159049936,2.2186712959340957e-31,4.243216643153356e-17,0.0,0.3840264331818749,5,-5.404677937829972
0.5241379310344828,1.8896551724137929,-5.400208077442636,-5.555933829206511,0.1271495438776032,-5.400208077442636,-5.345686182286774,36.84136148790464,14.736544595161854,-5.5511151231255245e-17,-1.1282936393643652e-16,0.0,0.3972955534897085,5,-5.400208077442636
0.5241379310344828,2.013793103448276,-5.396538756583468,-5.541306419875957,0.118202302107213,-5.396538756583468,-5.337898764447805,36.84136148790464,14.736544595161854,5.55111512312587e-17,-2.6825283486151257e-17,0.0,0.4096209336897957,5,-5.396538756583468
0.5241379310344828,2.1379310344827585,-5.3934897382872045,-5.528112032159589,0.1099186426634501,-5.3934897382872045,-5.331150768489239,36.84136148790464,14.736544595161854,-1.110223024625154e-16,-1.2873037209883211e-16,0.0,0.4210895981917865,5,-5.3934897382872045
